Engine_Id,AEP,AEGHG,EngineType,FuelCost
1,23.5,"14,100",ICE,0.2
2,23.5,"17,625",ICE,0.2
3,23.5,"17,625",ICE,0.2
4,23.5,"17,625",ICE,0.2
5,23.5,"18,800",ICE,0.2
6,23.5,"18,800",ICE,0.2
7,23.5,"17,625",ICE,0.2
8,23.5,"17,625",ICE,0.2
9,23.5,"5,222",ICE,0.2
10,23.5,"17,625",ICE,0.2
11,23.5,"17,625",ICE,0.2
12,23.5,"17,625",ICE,0.2
13,23.5,"17,625",ICE,0.2
14,23.5,"17,625",ICE,0.2
15,23.5,"17,625",ICE,0.2
16,23.5,"18,800",ICE,0.2
17,23.5,"18,800",ICE,0.2
18,23.5,"14,100",ICE,0.2
19,23.5,"14,100",ICE,0.2
20,23.5,"14,100",ICE,0.2
21,23.5,"18,800",ICE,0.2
22,23.5,"18,800",ICE,0.2
23,23.5,"14,100",ICE,0.2
24,23.5,"18,800",ICE,0.2
25,23.5,"18,800",ICE,0.2
26,23.5,"18,800",ICE,0.2
27,23.5,"14,100",ICE,0.2
28,23.5,"18,800",ICE,0.2
29,23.5,"9,400",ICE,0.2
30,23.5,"9,400",ICE,0.2
31,23.5,"18,800",ICE,0.2
32,23.5,"17,625",ICE,0.2
33,23.5,"5,222",ICE,0.2
34,23.5,"9,400",ICE,0.2
35,23.5,"14,100",ICE,0.2
36,23.5,"17,625",ICE,0.2
37,23.5,"14,100",ICE,0.2
38,23.5,"17,625",ICE,0.2
39,23.5,"17,625",ICE,0.2
40,23.5,"17,625",ICE,0.2
41,23.5,"17,625",ICE,0.2
42,23.5,"17,625",ICE,0.2
43,23.5,"14,100",ICE,0.2
44,23.5,"17,625",ICE,0.2
45,23.5,"17,625",ICE,0.2
46,23.5,"17,625",ICE,0.2
47,23.5,"17,625",ICE,0.2
48,23.5,"17,625",ICE,0.2
49,23.5,"17,625",ICE,0.2
50,23.5,"17,625",ICE,0.2
51,23.5,"17,625",ICE,0.2
52,23.5,"17,625",ICE,0.2
53,23.5,"17,625",ICE,0.2
54,23.5,"17,625",ICE,0.2
55,23.5,"9,400",ICE,0.2
56,23.5,"14,100",ICE,0.2
57,23.5,"17,625",ICE,0.2
58,23.5,"17,625",ICE,0.2
59,23.5,"17,625",ICE,0.2
60,23.5,"17,625",ICE,0.2
61,23.5,"17,625",ICE,0.2
62,23.5,"17,625",ICE,0.2
63,23.5,"17,625",ICE,0.2
64,23.5,"17,625",ICE,0.2
65,23.5,"5,222",ICE,0.2
66,23.5,"17,625",ICE,0.2
67,23.5,"17,625",ICE,0.2
68,23.5,"17,625",ICE,0.2
69,23.5,"18,800",ICE,0.2
70,23.5,"17,625",ICE,0.2
71,23.5,"18,800",ICE,0.2
72,23.5,"17,625",ICE,0.2
73,23.5,"17,625",ICE,0.2
74,23.5,"17,625",ICE,0.2
75,23.5,"17,625",ICE,0.2
76,23.5,"17,625",ICE,0.2
77,23.5,"17,625",ICE,0.2
78,23.5,"17,625",ICE,0.2
79,23.5,"16,588",ICE,0.2
80,23.5,"16,588",ICE,0.2
81,23.5,"16,588",ICE,0.2
82,23.5,"16,588",ICE,0.2
83,23.5,"16,588",ICE,0.2
84,23.5,"16,588",ICE,0.2
85,23.5,"16,588",ICE,0.2
86,23.5,"17,625",ICE,0.2
87,23.5,"17,625",ICE,0.2
