Vehicle Id,MaintenaceCost,InitialCost,FuelCost
1,"12,000","51,380",0.2
2,"12,000","38,125",0.2
3,"12,000","38,125",0.2
4,"12,000","38,125",0.2
5,"12,000","35,200",0.2
6,"12,000","35,200",0.2
7,"12,000","38,125",0.2
8,"12,000","38,125",0.2
9,"12,000","19,100",0.2
10,"12,000","38,125",0.2
11,"12,000","38,125",0.2
12,"12,000","38,125",0.2
13,"12,000","38,125",0.2
14,"12,000","38,125",0.2
15,"12,000","38,125",0.2
16,"12,000","35,200",0.2
17,"12,000","35,200",0.2
18,"12,000","51,380",0.2
19,"12,000","51,380",0.2
20,"12,000","51,380",0.2
21,"12,000","35,200",0.2
22,"12,000","35,200",0.2
23,"12,000","51,380",0.2
24,"12,000","35,200",0.2
25,"12,000","35,200",0.2
26,"12,000","35,200",0.2
27,"12,000","51,380",0.2
28,"12,000","35,200",0.2
29,"12,000","25,555",0.2
30,"12,000","25,555",0.2
31,"12,000","35,200",0.2
32,"12,000","38,125",0.2
33,"12,000","19,100",0.2
34,"12,000","25,555",0.2
35,"12,000","51,380",0.2
36,"12,000","38,125",0.2
37,"12,000","51,380",0.2
38,"12,000","38,125",0.2
39,"12,000","38,125",0.2
40,"12,000","38,125",0.2
41,"12,000","38,125",0.2
42,"12,000","38,125",0.2
43,"12,000","51,380",0.2
44,"12,000","38,125",0.2
45,"12,000","42,600",0.2
46,"12,000","42,600",0.2
47,"12,000","42,600",0.2
48,"12,000","38,125",0.2
49,"12,000","38,125",0.2
50,"12,000","38,125",0.2
51,"12,000","38,125",0.2
52,"12,000","38,125",0.2
53,"12,000","38,125",0.2
54,"12,000","38,125",0.2
55,"12,000","25,555",0.2
56,"12,000","51,380",0.2
57,"12,000","38,125",0.2
58,"12,000","38,125",0.2
59,"12,000","38,125",0.2
60,"12,000","38,125",0.2
61,"12,000","38,125",0.2
62,"12,000","38,125",0.2
63,"12,000","38,125",0.2
64,"12,000","38,125",0.2
65,"12,000","19,100",0.2
66,"12,000","38,125",0.2
67,"12,000","38,125",0.2
68,"12,000","38,125",0.2
69,"12,000","35,200",0.2
70,"12,000","42,600",0.2
71,"12,000","35,200",0.2
72,"12,000","42,600",0.2
73,"12,000","42,600",0.2
74,"12,000","42,600",0.2
75,"12,000","42,600",0.2
76,"12,000","42,600",0.2
77,"12,000","42,600",0.2
78,"12,000","42,600",0.2
79,"12,000","38,000",0.2
80,"12,000","38,000",0.2
81,"12,000","38,000",0.2
82,"12,000","38,000",0.2
83,"12,000","38,000",0.2
84,"12,000","38,000",0.2
85,"12,000","38,000",0.2
86,"12,000","42,600",0.2
87,"12,000","42,600",0.2
88,"12,000","42,600",0.2
89,"12,000","42,600",0.2
90,"12,000","42,600",0.2
91,"12,000","42,600",0.2
92,"12,000","42,600",0.2
93,"12,000","42,600",0.2
94,"12,000","42,600",0.2
95,"12,000","42,600",0.2
96,"12,000","42,600",0.2
97,"12,000","35,200",0.2
98,"12,000","51,380",0.2
99,"7,200","44,900",0.05
100,"7,200","44,900",0.05
101,"7,200","42,000",0.05
102,"7,200","16,000",0.05
103,"7,200","44,900",0.05
104,"7,200","44,900",0.05
105,"7,200","16,000",0.05
106,"7,200","16,000",0.05
107,"7,200","44,900",0.05
108,"7,200","16,000",0.05
109,"7,200","44,900",0.05
110,"7,200","16,000",0.05
111,"7,200","42,000",0.05
112,"7,200","42,000",0.05
113,"12,000","51,380",0.2
114,"12,000","51,380",0.2
115,"12,000","51,380",0.2
116,"7,200","42,000",0.05
117,"7,200","16,000",0.05
118,"7,200","42,000",0.05
119,"7,200","16,000",0.05
120,"7,200","16,000",0.05
121,"7,200","42,000",0.05
122,"12,000","51,380",0.2
123,"7,200","16,000",0.05
124,"7,200","16,000",0.05
125,"7,200","42,000",0.05
126,"7,200","16,000",0.05
127,"7,200","16,000",0.05
128,"7,200","16,000",0.05
129,"7,200","16,000",0.05
130,"7,200","44,900",0.05
131,"7,200","42,000",0.05
